ad_name,spend,ctr,impressions,clicks,date_start,date_stop,cpc
New Leads Ad - Carousel - Content #2 - new creation,641,0,10,0,2026-04-29,2026-05-05,
New Leads Ad - Single Image - new creation,242,0,3,0,2026-04-29,2026-05-05,
New Leads Ad - Video Ads - original content,533545,1.564111,5818,91,2026-04-29,2026-05-05,5863.131868
New Leads Ad - Video Ads - original content,17712,1.282051,78,1,2026-04-29,2026-05-05,17712
New Leads Ad - Video ads - Original content #2,14549,2.547771,157,4,2026-04-29,2026-05-05,3637.25
New Leads Ad - Video ads - Original content #2,453368,1.224612,3348,41,2026-04-29,2026-05-05,11057.756098
New Leads Ad - Video ads - Original content #2,25552,5.357143,168,9,2026-04-29,2026-05-05,2839.111111
New Leads Ad - Video Ads - original content - Copy,211161,1.235203,1943,24,2026-04-29,2026-05-05,8798.375
New Leads Ad - Video ads - Original content #2 - Copy,997402,1.002668,10871,109,2026-04-29,2026-05-05,9150.477064
New Leads Ad - Video Ads - original content,90657,1.057082,946,10,2026-04-29,2026-05-05,9065.7
New Leads Ad - Video Ads - 4 days,1204535,1.409987,12837,181,2026-04-29,2026-05-05,6654.889503
New Leads Ad - Video Ads - Central,692596,1.435407,6479,93,2026-04-29,2026-05-05,7447.268817
